PLAYER,TEAM,GP,MIN,STL,BLK,STL_per36,BLK_per36,Disruption_Index
Zach Collins,CHI,64,977,29,29,1.0685772773797337,1.0685772773797337,2.1371545547594675
Ousmane Dieng,OKC,37,405,17,7,1.511111111111111,0.6222222222222221,2.1333333333333333
Naz Reid,MIN,80,2200,58,72,0.9490909090909091,1.1781818181818182,2.1272727272727274
Derrick White,BOS,76,2574,72,80,1.006993006993007,1.118881118881119,2.125874125874126
Devin Vassell,SAS,64,1983,84,33,1.5249621785173977,0.5990922844175491,2.124054462934947
Kelly Oubre Jr.,PHI,60,2078,92,30,1.5938402309913378,0.519730510105871,2.1135707410972087
Ziaire Williams,BKN,63,1541,62,28,1.4484101232965607,0.6541207008436081,2.102530824140169
Kelly Olynyk,NOP,44,891,33,19,1.3333333333333333,0.7676767676767677,2.101010101010101
Kentavious Caldwell-Pope,MEM,77,2279,99,34,1.5638437911364633,0.5370776656428258,2.100921456779289
Ty Jerome,CLE,70,1392,78,3,2.0172413793103448,0.07758620689655173,2.0948275862068964
Keon Johnson,BKN,79,1925,82,30,1.5335064935064935,0.561038961038961,2.0945454545454547
Deandre Ayton,POR,40,1206,31,39,0.9253731343283582,1.164179104477612,2.08955223880597
Jeff Dowtin Jr.,PHI,41,621,24,12,1.391304347826087,0.6956521739130435,2.0869565217391304
Haywood Highsmith,MIA,74,1818,68,37,1.3465346534653464,0.7326732673267327,2.0792079207920793
Sandro Mamukelashvili,SAS,61,681,22,17,1.1629955947136565,0.8986784140969163,2.0616740088105727
Tyrese Maxey,PHI,52,1960,91,21,1.6714285714285715,0.38571428571428573,2.0571428571428574
Jerami Grant,POR,47,1524,41,46,0.968503937007874,1.0866141732283465,2.0551181102362204
Jordan Walsh,BOS,52,403,12,11,1.0719602977667493,0.9826302729528537,2.054590570719603
Luguentz Dort,OKC,71,2073,79,39,1.3719247467438493,0.6772793053545586,2.049204052098408
Chris Boucher,TOR,50,862,24,25,1.0023201856148491,1.0440835266821344,2.046403712296984
Tobias Harris,DET,73,2305,74,57,1.1557483731019524,0.8902386117136659,2.0459869848156185
Caleb Martin,DAL,45,1218,46,23,1.3596059113300494,0.6798029556650247,2.039408866995074
Jordan Poole,WAS,68,2001,86,27,1.5472263868065965,0.4857571214392804,2.032983508245877
Bam Adebayo,MIA,78,2674,98,53,1.319371727748691,0.7135377711293942,2.032909498878085
Collin Gillespie,PHX,33,461,21,5,1.6399132321041217,0.39045553145336226,2.030368763557484
Caris LeVert,ATL,64,1596,57,33,1.2857142857142856,0.744360902255639,2.0300751879699246
Fred VanVleet,HOU,60,2111,94,25,1.6030317385125534,0.4263382283278067,2.02936996684036
Jae'Sean Tate,HOU,52,588,26,7,1.5918367346938775,0.42857142857142855,2.020408163265306
David Roddy,HOU,33,410,14,9,1.229268292682927,0.7902439024390243,2.0195121951219512
