PLAYER,TEAM,GP,MIN,PTS,REB_pg,AST_pg,STL_pg,BLK_pg,StatStuffer_pg,REB_per36,AST_per36,STL_per36,BLK_per36,StatStuffer_per36
Ausar Thompson,DET,59,1328,594,5.135593220338983,2.2711864406779663,1.6610169491525424,0.6779661016949152,9.745762711864407,8.213855421686747,3.632530120481928,2.6566265060240966,1.0843373493975903,15.58734939759036
Bismack Biyombo,SAS,28,528,144,5.642857142857143,1.1071428571428572,0.5714285714285714,0.8214285714285714,8.142857142857142,10.772727272727273,2.1136363636363638,1.0909090909090908,1.5681818181818183,15.545454545454545
Alex Len,LAL,46,380,74,2.0652173913043477,0.8260869565217391,0.1956521739130435,0.45652173913043476,3.543478260869565,9.0,3.6,0.8526315789473684,1.9894736842105263,15.442105263157895
Orlando Robinson,TOR,44,770,303,5.0,1.75,0.38636363636363635,0.36363636363636365,7.5,10.285714285714285,3.6,0.7948051948051948,0.7480519480519481,15.428571428571427
LaMelo Ball,CHA,47,1505,1184,4.9361702127659575,7.361702127659575,1.148936170212766,0.2765957446808511,13.723404255319148,5.549501661129568,8.27641196013289,1.2916943521594684,0.3109634551495017,15.428571428571427
Kyle Filipowski,UTA,72,1522,690,6.111111111111111,1.9444444444444444,0.6666666666666666,0.3055555555555556,9.027777777777777,10.407358738501971,3.3114323258869907,1.1353482260183967,0.5203679369250985,15.374507227332456
Yves Missi,NOP,73,1956,665,8.232876712328768,1.356164383561644,0.5068493150684932,1.3424657534246576,11.438356164383563,11.061349693251534,1.822085889570552,0.6809815950920245,1.8036809815950918,15.368098159509202
Mouhamed Gueye,ATL,33,533,197,4.212121212121212,0.8181818181818182,0.8484848484848485,1.0,6.878787878787879,9.388367729831145,1.823639774859287,1.8911819887429644,2.2288930581613506,15.332082551594748
John Konchar,MEM,46,558,112,3.282608695652174,0.9130434782608695,0.6521739130434783,0.30434782608695654,5.1521739130434785,9.741935483870968,2.709677419354839,1.935483870967742,0.903225806451613,15.290322580645164
Jonathan Mogbo,TOR,63,1286,389,4.936507936507937,2.3174603174603177,0.873015873015873,0.5396825396825397,8.666666666666668,8.706065318818041,4.087091757387247,1.5396578538102643,0.9517884914463453,15.284603421461897
Kevin Porter Jr.,MIL,75,1482,771,3.7066666666666666,3.4133333333333336,1.08,0.17333333333333334,8.373333333333333,6.753036437246964,6.218623481781377,1.9676113360323888,0.3157894736842105,15.25506072874494
Kyle Anderson,MIA,61,1002,357,3.377049180327869,2.377049180327869,0.6557377049180327,0.5409836065573771,6.950819672131148,7.401197604790418,5.209580838323353,1.437125748502994,1.18562874251497,15.233532934131736
Ja Morant,MEM,50,1519,1159,4.1,7.28,1.22,0.24,12.84,4.858459512837393,8.626728110599078,1.445687952600395,0.2843976300197498,15.215273206056615
Daniel Theis,NOP,38,621,162,4.315789473684211,1.5789473684210527,0.47368421052631576,0.5263157894736842,6.894736842105264,9.507246376811594,3.4782608695652173,1.0434782608695652,1.1594202898550723,15.188405797101447
Deni Avdija,POR,72,2161,1219,7.25,3.9027777777777777,0.9861111111111112,0.4861111111111111,12.625,8.695974086071264,4.681166126793151,1.182785747339195,0.5830633965756594,15.14298935677927
Tari Eason,HOU,57,1420,686,6.350877192982456,1.456140350877193,1.7017543859649122,0.8771929824561403,10.385964912280702,9.177464788732394,2.104225352112676,2.459154929577465,1.267605633802817,15.008450704225353
Isaiah Collier,UTA,71,1839,615,3.3098591549295775,6.28169014084507,0.9295774647887324,0.22535211267605634,10.746478873239436,4.600326264274062,8.730831973898859,1.292006525285481,0.3132137030995106,14.936378466557914
Dyson Daniels,ATL,76,2571,1073,5.907894736842105,4.381578947368421,3.013157894736842,0.7236842105263158,14.026315789473685,6.287047841306885,4.662777129521587,3.206534422403734,0.7701283547257876,14.926487747957996
Shai Gilgeous-Alexander,OKC,76,2598,2484,4.9868421052631575,6.394736842105263,1.7236842105263157,1.013157894736842,14.118421052631579,5.2517321016166285,6.734411085450346,1.8152424942263279,1.0669745958429562,14.86836027713626
Santi Aldama,MEM,65,1660,811,6.4,2.8923076923076922,0.8,0.4461538461538462,10.53846153846154,9.021686746987953,4.0771084337349395,1.1277108433734941,0.6289156626506025,14.855421686746988
Taj Gibson,CHA,37,409,107,3.2432432432432434,0.5675675675675675,0.24324324324324326,0.4864864864864865,4.540540540540541,10.56234718826406,1.8484107579462103,0.7921760391198044,1.5843520782396088,14.787286063569683
Jericho Sims,MIL,53,631,98,3.7169811320754715,0.6226415094339622,0.18867924528301888,0.3584905660377358,4.886792452830188,11.239302694136292,1.8827258320126783,0.5705229793977813,1.0839936608557845,14.776545166402535
Wendell Carter Jr.,ORL,68,1758,618,7.235294117647059,1.9705882352941178,0.7647058823529411,0.6029411764705882,10.573529411764708,10.075085324232083,2.744027303754266,1.0648464163822526,0.8395904436860068,14.723549488054609
Alex Sarr,WAS,67,1814,869,6.492537313432836,2.4029850746268657,0.6567164179104478,1.507462686567164,11.059701492537313,8.632855567805954,3.195148842337376,0.8732083792723263,2.0044101433296584,14.705622932745314
Desmond Bane,ORL,69,2205,1327,6.057971014492754,5.3478260869565215,1.1594202898550725,0.4057971014492754,12.971014492753623,6.8244897959183675,6.024489795918368,1.306122448979592,0.45714285714285713,14.612244897959183
Adem Bona,PHI,58,905,337,4.224137931034483,0.46551724137931033,0.4482758620689655,1.1896551724137931,6.327586206896552,9.74585635359116,1.0740331491712707,1.0342541436464088,2.74475138121547,14.598895027624309
Jeremy Sochan,SAS,54,1364,617,6.518518518518518,2.3703703703703702,0.8333333333333334,0.5,10.222222222222223,9.29032258064516,3.378299120234604,1.1876832844574778,0.7126099706744868,14.56891495601173
Miles Bridges,CHA,64,2029,1300,7.515625,3.875,0.6875,0.703125,12.78125,8.53425332676195,4.40019714144899,0.7806801379990144,0.7984228684080829,14.513553474618039
Sandro Mamukelashvili,SAS,61,681,385,3.0655737704918034,0.7868852459016393,0.36065573770491804,0.2786885245901639,4.491803278688525,9.88546255506608,2.537444933920705,1.1629955947136565,0.8986784140969163,14.48458149779736
Karlo Matković,NOP,42,791,325,4.976190476190476,1.0952380952380953,0.5238095238095238,0.9761904761904762,7.571428571428571,9.512010113780024,2.0935524652338815,1.0012642225031605,1.865992414664981,14.472819216182046
Kai Jones,DAL,40,468,198,3.125,0.625,0.375,0.575,4.7,9.615384615384615,1.923076923076923,1.1538461538461537,1.7692307692307692,14.46153846153846
Moritz Wagner,ORL,30,564,386,4.933333333333334,1.4,0.8,0.4,7.533333333333334,9.446808510638297,2.6808510638297873,1.5319148936170213,0.7659574468085106,14.425531914893615
John Collins,UTA,40,1221,758,8.175,2.0,0.975,1.0,12.15,9.641277641277641,2.3587223587223587,1.1498771498771498,1.1793611793611793,14.32923832923833
Brandon Clarke,MEM,64,1207,534,5.09375,1.03125,0.8125,0.5625,7.5,9.723280861640431,1.9685169842584922,1.5509527754763877,1.0737365368682683,14.316487158243579
RJ Barrett,TOR,58,1869,1223,6.310344827586207,5.413793103448276,0.7931034482758621,0.29310344827586204,12.810344827586206,7.04975922953451,6.048154093097913,0.8860353130016051,0.3274478330658106,14.311396468699838
Paolo Banchero,ORL,46,1582,1191,7.5,4.760869565217392,0.782608695652174,0.6086956521739131,13.652173913043477,7.850821744627054,4.983565107458913,0.8192161820480405,0.6371681415929203,14.290771175726926
Alex Caruso,OKC,54,1041,382,2.9444444444444446,2.537037037037037,1.6111111111111112,0.5555555555555556,7.648148148148149,5.498559077809798,4.737752161383285,3.0086455331412103,1.037463976945245,14.282420749279538
Tristan Vukcevic,WAS,35,513,330,3.7142857142857144,1.1142857142857143,0.3142857142857143,0.6571428571428571,5.800000000000001,9.12280701754386,2.7368421052631575,0.7719298245614035,1.6140350877192982,14.24561403508772
