PLAYER,TEAM,GP,MIN,OREB,DREB,REB,OREB_Load,DREB_Load,REB_Load
Ben Sheppard,IND,63,1230,44,133,177,6.179775280898876,5.082155139472679,5.316911985581255
Johnny Juzang,UTA,64,1270,42,142,184,4.640883977900553,5.529595015576324,5.298013245033113
Luke Kennard,MEM,65,1472,37,146,183,3.8461538461538463,5.833000399520576,5.2813852813852815
Anfernee Simons,POR,70,2292,25,164,189,2.3474178403755865,6.502775574940524,5.269027042096459
Jericho Sims,MIL,53,631,71,126,197,9.820193637621024,4.155672823218998,5.246338215712384
Gui Santos,GSW,56,762,72,100,172,7.741935483870968,4.231908590774439,5.223200728818706
Justin Edwards,PHI,44,1155,46,102,148,6.478873239436619,4.786485218207415,5.20943329813446
Mike Conley,MIN,71,1756,32,150,182,3.7339556592765457,5.681818181818182,5.204460966542751
Dennis Schröder,DET,75,2105,27,171,198,2.869287991498406,5.939562348037513,5.183246073298429
Sandro Mamukelashvili,SAS,61,681,62,125,187,6.997742663656885,4.535558780841799,5.13454146073586
Miles McBride,NYK,64,1593,47,114,161,6.119791666666666,4.746044962531224,5.078864353312302
Kris Murray,POR,69,1040,76,106,182,7.136150234741784,4.203013481363997,5.0738778923891825
Josh Green,CHA,68,1888,56,116,172,6.133625410733845,4.679306171843485,5.070754716981132
Nikola Jović,MIA,46,1156,26,154,180,3.25,5.48823948681397,4.9916805324459235
Bradley Beal,PHX,53,1702,34,143,177,4.202719406674907,5.184916606236404,4.96215306980656
Collin Sexton,UTA,63,1758,60,111,171,6.629834254143646,4.322429906542056,4.923697091851426
Kentavious Caldwell-Pope,MEM,77,2279,33,136,169,3.4303534303534304,5.433479824210947,4.8773448773448775
Andre Jackson Jr.,MIL,67,980,65,117,182,8.990318118948824,3.8588390501319263,4.846870838881491
Tim Hardaway Jr.,DET,77,2153,18,165,183,1.9128586609989375,5.731156651615144,4.790575916230367
Bruce Brown,NOP,41,922,40,124,164,4.206098843322819,4.99597099113618,4.7771628313428485
Daniel Theis,NOP,38,621,44,120,164,4.6267087276550996,4.8348106365834,4.7771628313428485
Ja'Kobe Walter,TOR,52,1103,59,101,160,6.2302006335797255,4.180463576158941,4.757656853999405
Micah Potter,UTA,38,705,43,121,164,4.751381215469613,4.711838006230529,4.72214224013821
Khris Middleton,WAS,37,843,13,124,137,1.9607843137254901,5.520926090828139,4.709522172567892
Jamison Battle,TOR,59,1042,37,121,158,3.907074973600845,5.008278145695364,4.6981861433244125
Ty Jerome,CLE,70,1392,50,123,173,5.458515283842795,4.430835734870317,4.685807150595883
